0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,Chapter-3 Students’ Profile,,,,,,,,
,1.  Applications Statistics (Discipline Wise),,,,,,,,,,,
,BBA,,BS(AF)  BS(AI)  BS(BA)  BS(CS)  BS(CV)  BS(CYS)  BS(DS),,,,,,BS(EE),BS(FT),BS(SE),Total
Applicants,5,,23,4,111,,,,2,,37,182
CFD,,,,,,,,,,,,
Offers,3,,13,3,17,,,,2,,5,43
Applicants,27,15,235,9,887,,82,36,49,12,250,"1,602"
ISB,,,,,,,,,,,,
Offers,17,11,4,4,34,,5,4,7,7,8,101
Applicants,,,32,1,372,,10,,7,2,79,503
KHI,,,,,,,,,,,,
Offers,,,1,,30,,2,,8,2,1,44
Applicants,23,8,,10,"1,145",13,,72,21,5,198,"1,495"
LHR,,,,,,,,,,,,
Offers,13,5,,6,46,6,,9,10,3,4,102
Applicants,,,4,,10,,,,2,,9,25
PWR,,,,,,,,,,,,
Offers,,,,,7,,,,,,5,12
Total Applicants,55,23,294,24,"2,525",13,92,108,81,19,573,"3,807"
Total Offers,33,16,18,13,134,6,7,13,27,12,23,302
