0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,Graduation Summary,,,,,,,,,,,
,,BBA,BS (AF),BS (AI),BS (BA),BS (CS),BS (CV),BS (CY),BS (DS),BS (EE),BS (FT),BS (SE),G. Total
,Karachi,12,-,32,-,577,-,29,-,87,-,144,881
,Lahore,90,41,-,-,428,82,-,25,127,-,62,855
2023-24,Islamabad,107,63,100,-,479,-,52,43,76,-,117,"1,037"
,Peshawar,-,-,-,-,89,-,-,-,17,-,18,124
,Faisalabad,44,-,-,-,316,-,-,-,71,-,102,533
,G. Total,253,104,132,,1889,82,81,68,378,,443,3430
,,MBA,MBA (1.5),MS (AF),MS (CNS),MS (CS),MS (CV),MS (DS),MS (EE),MS (Ling),MS (MG),MS(Math),G. Total
,Karachi,-,-,-,18,39,-,59,1,-,-,-,117
,Lahore,53,-,-,-,22,39,21,-,14,-,13,162
2023-24,Islamabad,26,-,-,18,15,-,26,12,-,4,0,101
,Peshawar,-,-,-,-,-,-,2,-,-,-,-,2
,Faisalabad,2,-,-,-,14,-,-,2,-,-,-,18
,G. Total,81,-,-,36,90,39,108,15,14,4,13,400
,,MS (SE),MS (SPM),MS (AI),MS (BA),PhD (CS),PhD (EE),PhD (Math),PhD (MG),PhD (MS),PhD (SE),PhD (CV),G. Total
,Karachi,-,40,-,-,4,-,-,-,-,-,-,44
,Lahore,-,18,-,55,1,-,1,-,-,-,-,75
2023-24,Islamabad,15,0,24,16,3,2,-,3,-,2,-,65
,Peshawar,-,-,-,-,-,-,-,-,-,-,-,-
,Faisalabad,-,-,-,-,2,-,-,-,-,-,-,2
,G. Total,15,58,24,71,10,2,1,3,-,2,-,186
